"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.383937375E0,-1.662310931E0,-7.172848146E-1,-2.046525478E-3,1.810463843E0
2.393894375E0,-1.762212511E0,-7.158684728E-1,-4.070737982E-1,1.945140016E0
2.403852375E0,-1.854240523E0,-5.736314437E-1,-6.130004543E-1,2.035443565E0
2.413809375E0,-1.650595304E0,-5.171132074E-1,-3.806625098E-1,1.771094258E0
2.423767375E0,-1.370774460E0,-3.237514137E-1,2.657559514E-2,1.408738393E0
2.433724375E0,-1.004567290E0,-6.310600184E-2,2.832385415E-1,1.045639460E0
2.443682375E0,-6.076765279E-1,-4.369478077E-2,4.346364033E-1,7.483908067E-1
2.453639375E0,-4.088598302E-1,9.472408958E-2,5.261476672E-1,6.730307434E-1
2.463597375E0,-2.840660870E-1,3.904402969E-1,4.089992863E-1,6.327855746E-1
2.473554375E0,-1.952826588E-1,3.469294111E-1,1.058790421E-1,4.119535225E-1
2.483512375E0,-9.960744655E-2,2.442732080E-1,-1.660819745E-1,3.117278714E-1
2.493469375E0,8.914162489E-2,3.482281508E-1,-4.298393476E-1,5.603310977E-1
2.503427375E0,3.024603310E-1,3.869900011E-1,-6.166233891E-1,7.883323645E-1
2.513384375E0,3.916973752E-1,1.293727161E-1,-6.712375528E-1,7.878603846E-1
2.523342375E0,5.229694131E-1,7.067346834E-2,-8.334135872E-1,9.864430817E-1
2.533299375E0,5.419369767E-1,3.238978133E-1,-1.000213600E0,1.182807138E0
2.543257375E0,4.732469204E-1,5.571023883E-1,-9.533364719E-1,1.201322666E0
2.553214375E0,5.100308770E-1,9.022240596E-1,-8.438461894E-1,1.336493973E0
2.563172375E0,4.513671876E-1,1.286068624E0,-6.618972105E-1,1.515193968E0
2.573129375E0,3.682909709E-1,1.647136091E0,-3.021379119E-1,1.714637822E0
2.583087375E0,4.055093391E-1,2.087877572E0,3.381602687E-1,2.153606962E0
2.593044375E0,4.730472746E-1,2.416832569E0,8.256479001E-1,2.597411759E0
2.603002375E0,5.164571498E-1,2.428458442E0,1.068868098E0,2.703075545E0
2.612959375E0,4.195348725E-1,2.311421158E0,1.254830605E0,2.663320696E0
2.622917375E0,4.421108991E-2,2.347533416E0,1.402398541E0,2.734883805E0
2.632874375E0,-7.949769151E-1,2.379113935E0,1.757887618E0,3.063060608E0
2.642832375E0,-1.230910816E0,2.221140587E0,1.791810824E0,3.107924223E0
2.652789375E0,-1.257166860E0,1.598370605E0,1.496401303E0,2.524772062E0
2.662747375E0,-1.050158762E0,6.713726234E-1,1.347228307E0,1.835374277E0
2.672704375E0,-7.971738602E-1,-2.003834226E-1,1.122478294E0,1.391257417E0
2.682662375E0,-5.820581220E-1,-9.902563032E-1,3.295870811E-1,1.195000773E0
2.692619375E0,-1.540199909E-1,-1.530774892E0,-4.917438197E-1,1.615179838E0
2.702577375E0,-1.793827456E-1,-2.060229159E0,-7.168318015E-1,2.188737122E0
2.712534375E0,-2.073546193E-1,-2.235102715E0,-8.496542287E-1,2.400123412E0
2.722492375E0,-4.002270376E-1,-1.993231031E0,-1.118902722E0,2.320580731E0
2.732449375E0,-5.210670946E-1,-1.825723067E0,-1.114293947E0,2.201460114E0
2.742407375E0,-4.398695882E-1,-1.569211710E0,-5.133983982E-1,1.708651094E0
2.752364375E0,-1.938111339E-1,-1.109735677E0,1.789522809E-1,1.140657681E0
2.762322375E0,9.981006171E-2,-9.935700665E-1,6.917741436E-1,1.214781870E0
2.772279375E0,-3.369926711E-2,-7.597364773E-1,1.161090383E0,1.387971914E0
2.782237375E0,-4.672483533E-2,-4.777243893E-1,8.112222344E-1,9.425949904E-1
2.792194375E0,-2.845861785E-2,-6.603656785E-1,1.744206887E-1,6.836046364E-1
2.802151375E0,2.042825653E-1,-7.663808146E-1,-4.379810107E-1,9.060343731E-1
2.812109375E0,2.671552449E-1,-7.768429452E-1,-8.478813529E-1,1.180575993E0
2.822067375E0,3.465772991E-1,-8.020340659E-1,-8.582736093E-1,1.224748160E0
2.832024375E0,5.876533592E-1,-8.405147383E-1,-6.859655195E-1,1.233835560E0
2.841981375E0,7.286852040E-1,-9.564936760E-1,-5.133434343E-1,1.307434037E0
2.851939375E0,6.953084931E-1,-8.174027413E-1,-2.477576369E-1,1.101355977E0
2.861896375E0,5.388938664E-1,-5.185662404E-1,-8.383971691E-2,7.525600595E-1
2.871854375E0,3.950670159E-1,-5.752836476E-1,-8.316553295E-2,7.028127262E-1
2.881811375E0,2.355483765E-1,-7.538776403E-1,-8.705217719E-2,7.946021745E-1
2.891769375E0,2.666412564E-3,-7.094241833E-1,-1.165583968E-2,7.095249398E-1
2.901726375E0,-7.815940272E-2,-6.166749908E-1,2.251341748E-1,6.611220259E-1
2.911684375E0,-5.927918192E-2,-6.482686664E-1,2.347347182E-1,6.920019315E-1
2.921641375E0,-1.080384828E-1,-6.930068828E-1,1.644997180E-2,7.015707056E-1
